,Name,Role
0,Dr. Alka Mittal,Director (HR) and Chairman & Managing Director - Additional Charge
1,Rajesh Kumar Srivastava ,Director (Exploration) 
2,Om Prakash Singh,Director (T&FS)
3,Anurag Sharma,Director (Onshore) and Director (Finance) - Additional Charge
4,Pankaj Kumar,Director (Offshore)
5,Amar Nath,Additional Secretary (Exploration) - MoP&NG
6,Amitava Bhattacharyya,Former Central Information Commissioner
7,Syamchand Ghosh,Independent Director
8,V Ajit Kumar Raju,Independent Director
9,Manish Pareek,Independent Director
10,Reena Jaitly,Independent Director
11,Dr Prabhaskar Rai,Independent Director
